4o-image-api/generate-4-o-image	image	4o-image
bytedance/seedance-1.5-pro	video	bytedance
bytedance/seedance-2	video	bytedance
bytedance/seedance-2-5	video	bytedance
bytedance/seedance-2-fast	video	bytedance
bytedance/seedance-2-mini	video	bytedance
bytedance/seedream	image	seedream
bytedance/seedream-v4-edit	image	seedream
bytedance/seedream-v4-text-to-image	image	seedream
bytedance/v1-lite-image-to-video	video	bytedance
bytedance/v1-lite-text-to-video	video	bytedance
bytedance/v1-pro-fast-image-to-video	video	bytedance
bytedance/v1-pro-image-to-video	video	bytedance
bytedance/v1-pro-text-to-video	video	bytedance
elevenlabs/audio-isolation	music	elevenlabs
elevenlabs/text-to-dialogue-v3	music	elevenlabs
elevenlabs/text-to-speech-multilingual-v2	music	elevenlabs
elevenlabs/text-to-speech-turbo-2-5	music	elevenlabs
flux-2/flex-image-to-image	image	flux-2
flux-2/flex-text-to-image	image	flux-2
flux-2/pro-image-to-image	image	flux-2
flux-2/pro-text-to-image	image	flux-2
flux-kontext-api/generate-or-edit-image	image	flux-kontext
gemini-omni-video	video	gemini-omni
google/gemini-2-5-pro-tts	music	gemini
google/gemini-3-1-flash-tts	music	gemini
google/imagen4	image	google
google/imagen4-fast	image	google
google/imagen4-ultra	image	google
google/nano-banana	image	google
google/nano-banana-edit	image	google
gpt-image-2-image-to-image	image	gpt-image
gpt-image-2-text-to-image	image	gpt-image
gpt-image/1.5-image-to-image	image	gpt-image
gpt-image/1.5-text-to-image	image	gpt-image
grok-imagine-image-2-0/image-edit	image	grok-imagine
grok-imagine-image-2-0/segment-edit	image	grok-imagine
grok-imagine-image-2-0/segment-map	image	grok-imagine
grok-imagine-image-2-0/text-to-image	image	grok-imagine
grok-imagine-video-1-5-preview	video	grok-imagine
grok-imagine/extend	video	grok-imagine
grok-imagine/image-to-image	image	grok-imagine
grok-imagine/image-to-video	video	grok-imagine
grok-imagine/text-to-image	image	grok-imagine
grok-imagine/text-to-video	video	grok-imagine
grok-imagine/upscale	video	grok-imagine
hailuo/02-image-to-video-pro	video	hailuo
hailuo/02-image-to-video-standard	video	hailuo
hailuo/02-text-to-video-pro	video	hailuo
hailuo/02-text-to-video-standard	video	hailuo
hailuo/2-3-image-to-video-pro	video	hailuo
hailuo/2-3-image-to-video-standard	video	hailuo
happyhorse-1-1/image-to-video	video	happyhorse
happyhorse-1-1/reference-to-video	video	happyhorse
happyhorse-1-1/text-to-video	video	happyhorse
happyhorse/image-to-video	video	happyhorse
happyhorse/reference-to-video	video	happyhorse
happyhorse/text-to-video	video	happyhorse
happyhorse/video-edit	video	happyhorse
ideogram/character	image	ideogram
ideogram/character-edit	image	ideogram
ideogram/character-remix	image	ideogram
ideogram/v3-edit	image	ideogram
ideogram/v3-remix	image	ideogram
ideogram/v3-text-to-image	image	ideogram
infinitalk/from-audio	video	infinitalk
kling-2.6/image-to-video	video	kling
kling-2.6/motion-control	video	kling
kling-2.6/text-to-video	video	kling
kling-3.0-omni/image-to-video	video	kling
kling-3.0-omni/reference-to-video	video	kling
kling-3.0-omni/text-to-video	video	kling
kling-3.0-omni/transformation	video	kling
kling-3.0/motion-control	video	kling
kling-3.0/video	video	kling
kling/ai-avatar-pro	video	kling
kling/ai-avatar-standard	video	kling
kling/v2-1-master-image-to-video	video	kling
kling/v2-1-master-text-to-video	video	kling
kling/v2-1-pro	video	kling
kling/v2-1-standard	video	kling
kling/v2-5-turbo-text-to-video-pro	video	kling
kling/v3-turbo-image-to-video	video	kling
kling/v3-turbo-text-to-video	video	kling
minimax-h3/image-to-video	video	minimax-h3
minimax-h3/reference-to-video	video	minimax-h3
minimax-h3/text-to-video	video	minimax-h3
nano-banana-2	image	google
nano-banana-2-lite	image	google
nano-banana-pro	image	google
omnihuman-1-5	video	omnihuman
omnihuman-1-5/human-identification	video	omnihuman
omnihuman-1-5/subject-detection	video	omnihuman
pixverse-v6/extend	video	pixverse
pixverse-v6/image-to-video	video	pixverse
pixverse-v6/reference-to-video	video	pixverse
pixverse-v6/text-to-video	video	pixverse
pixverse-v6/transition	video	pixverse
qwen/image-edit	image	qwen
qwen/image-to-image	image	qwen
qwen/text-to-image	image	qwen
qwen2/image-edit	image	qwen
qwen3/image-to-image	image	qwen
qwen3/pro-image-to-image	image	qwen
qwen3/pro-text-to-image	image	qwen
qwen3/text-to-image	image	qwen
recraft/crisp-upscale	image	recraft
recraft/remove-background	image	recraft
runway-api/extend-ai-video	video	runway
runway-api/generate-ai-video	video	runway
runway-api/generate-aleph-video	video	runway
seedream/4.5-edit	image	seedream
seedream/4.5-text-to-image	image	seedream
seedream/5-lite-image-to-image	image	seedream
seedream/5-lite-text-to-image	image	seedream
seedream/5-pro-image-to-image	image	seedream
seedream/5-pro-layer-decomposition	image	seedream
seedream/5-pro-text-to-image	image	seedream
suno-api/add-instrumental	music	suno
suno-api/add-vocals	music	suno
suno-api/convert-to-wav	music	suno
suno-api/cover-suno	music	suno
suno-api/create-music-video	music	suno
suno-api/extend-music	music	suno
suno-api/generate-lyrics	music	suno
suno-api/generate-mashup	music	suno
suno-api/generate-midi	music	suno
suno-api/generate-music	music	suno
suno-api/generate-sounds	music	suno
suno-api/replace-section	music	suno
suno-api/separate-vocals	music	suno
suno-api/suno-voice-generate	music	suno
suno-api/suno-voice-regenerate	music	suno
suno-api/suno-voice-validate	music	suno
suno-api/upload-and-cover-audio	music	suno
suno-api/upload-and-extend-audio	music	suno
topaz/image-upscale	image	topaz
topaz/video-upscale	video	topaz
veo3-api/extend-video	video	veo3.1
veo3-api/generate-veo-3-video	video	veo3.1
veo3-api/get-veo-3-4k-video	video	veo3.1
volcengine/video-to-video-lip-sync	video	volcengine
wan/2-2-a14b-image-to-video-turbo	video	wan
wan/2-2-a14b-speech-to-video-turbo	video	wan
wan/2-2-a14b-text-to-video-turbo	video	wan
wan/2-2-animate-move	video	wan
wan/2-2-animate-replace	video	wan
wan/2-5-image-to-video	video	wan
wan/2-5-text-to-video	video	wan
wan/2-6-flash-image-to-video	video	wan
wan/2-6-flash-video-to-video	video	wan
wan/2-6-image-to-video	video	wan
wan/2-6-text-to-video	video	wan
wan/2-6-video-to-video	video	wan
wan/2-7-image	image	wan
wan/2-7-image-pro	image	wan
wan/2-7-image-to-video	video	wan
wan/2-7-r2v	video	wan
wan/2-7-text-to-video	video	wan
wan/2-7-videoedit	video	wan
wan/3-0-video	video	wan
wan/3-0-video-prime	video	wan
z-image	image	z-image
